"ID","Label","Type","Property"
"1","xmd_s001_000_000_005.xml","story",""
"2","Person","Person","name:Hinrichs;gender:male;role:narrator;profession:Pantoffelmacher"
"3","Place","Place","title:Hohen Viecheln;pointLatitude:53.78404;pointLongitude:11.51169;role:narration"
"4","Place","Place","title:Stellshagen;pointLatitude:53.94487;pointLongitude:11.13973;role:action"
"5","xmd_s001_000_000_006 - Copy.xml","story",""
"6","Place","Place","title:Grevesmühlen;pointLatitude:53.86487;pointLongitude:11.18473;role:action"
"7","xmd_s001_000_000_006.xml","story",""
"8","Person","Person","name:Hinrichs;gender:male;role:narrator;profession:Example"
"9","xmd_s001_000_000_071.xml","story",""
"10","Person","Person","name:Toll;gender:male;role:narrator;profession:Tagelöhner"
"11","Place","Place","title:Neubrandenburg;pointLatitude:53.55740;pointLongitude:13.26031;role:narration"
"12","Place","Place","title:Teschendorf;pointLatitude:53.45712;pointLongitude:13.35921;role:action"
"13","xmd_s001_000_000_143.xml","story",""
"14","Person","Person","name:Holtz;gender:male;role:narrator;profession:Büdner"
"15","Place","Place","title:Sternberg;pointLatitude:53.71211;pointLongitude:11.82891;role:narration"
"16","Place","Place","title:Hasenwinkel;pointLatitude:53.79182;pointLongitude:11.63474;role:action"
"17","xmd_s001_000_000_950.xml","story",""
"18","Person","Person","name:Schröder;gender:male;role:narrator"
"19","Place","Place","title:Hoben;pointLatitude:53.91821;pointLongitude:11.40640;role:narration"
"20","Place","Place","title:Wismar;pointLatitude:53.89126;pointLongitude:11.46613;role:action"
"21","xmd_s001_000_001_854.xml","story",""
